id_cliente,timestamp_chegada,dia_semana,hora,canal,tempo_servico_min,tam_pedido_itens,ticket_R$,perfil_totem,atendentes_efetivos,intervalo_chegada_min
1,2026-05-04 10:00:05.845633,seg,10,balcao,0.114,4,65.06,,2,
2,2026-05-04 10:00:29.223583,seg,10,balcao,3.774,2,21.36,,2,0.3896325
21,2026-05-04 10:00:29.847651,seg,10,totem,4.367,3,30.09,idoso,4,
22,2026-05-04 10:01:06.667670,seg,10,totem,1.807,2,33.08,jovem,4,0.6136669833333334
23,2026-05-04 10:01:46.375784,seg,10,totem,1.16,3,53.81,jovem,4,0.6618019
24,2026-05-04 10:02:03.449257,seg,10,totem,2.597,1,15.01,jovem,4,0.2845578833333333
3,2026-05-04 10:02:33.148070,seg,10,balcao,1.135,2,23.19,,2,2.0654081166666667
41,2026-05-04 10:02:36.762723,seg,10,drive,2.591,1,16.17,,1,
4,2026-05-04 10:02:45.329271,seg,10,balcao,0.462,5,80.11,,2,0.20302001666666666
42,2026-05-04 10:04:49.069128,seg,10,drive,2.17,2,18.61,,1,2.20510675
43,2026-05-04 10:05:14.473684,seg,10,drive,1.997,1,11.24,,1,0.4234092666666667
44,2026-05-04 10:05:38.844521,seg,10,drive,2.06,5,42.59,,1,0.4061806166666667
5,2026-05-04 10:06:04.678262,seg,10,balcao,0.121,3,26.85,,2,3.3224831833333335
45,2026-05-04 10:07:11.246635,seg,10,drive,0.731,2,27.31,,1,1.5400352333333334
46,2026-05-04 10:07:27.543294,seg,10,drive,1.109,3,45.64,,1,0.2716109833333333
47,2026-05-04 10:09:36.208565,seg,10,drive,6.189,1,12.73,,1,2.1444211833333333
25,2026-05-04 10:10:40.695553,seg,10,totem,2.199,3,48.58,idoso,4,8.620771600000001
6,2026-05-04 10:11:15.408002,seg,10,balcao,0.771,3,38.31,,2,5.1788289999999995
7,2026-05-04 10:12:56.817581,seg,10,balcao,0.722,3,40.3,,2,1.6901596499999998
48,2026-05-04 10:13:40.005218,seg,10,drive,0.456,4,53.7,,1,4.06327755
49,2026-05-04 10:14:07.287864,seg,10,drive,4.567,4,40.93,,1,0.45471076666666665
50,2026-05-04 10:14:46.723987,seg,10,drive,7.243,3,37.44,,1,0.6572687166666668
26,2026-05-04 10:14:50.095689,seg,10,totem,1.227,1,9.16,jovem,4,4.156668933333333
27,2026-05-04 10:15:10.544999,seg,10,totem,0.866,1,10.47,jovem,4,0.3408218333333333
51,2026-05-04 10:20:27.045514,seg,10,drive,4.067,7,110.13,,1,5.6720254500000005
28,2026-05-04 10:22:18.650436,seg,10,totem,3.914,1,11.23,idoso,4,7.135090616666667
29,2026-05-04 10:22:24.454043,seg,10,totem,1.938,2,23.64,jovem,4,0.09672678333333334
52,2026-05-04 10:23:44.154174,seg,10,drive,1.44,5,85.51,,1,3.285144333333333
30,2026-05-04 10:25:01.626810,seg,10,totem,2.149,5,69.68,jovem,4,2.6195461166666667
53,2026-05-04 10:26:01.170773,seg,10,drive,1.006,2,27.68,,1,2.2836099833333336
8,2026-05-04 10:30:25.489654,seg,10,balcao,1.142,3,45.63,,2,17.47786788333333
54,2026-05-04 10:31:10.918692,seg,10,drive,1.593,3,36.34,,1,5.162465316666667
9,2026-05-04 10:32:05.181005,seg,10,balcao,2.014,2,30.33,,2,1.6615225166666667
31,2026-05-04 10:32:17.824940,seg,10,totem,4.492,5,42.57,jovem,4,7.269968833333333
10,2026-05-04 10:33:58.579526,seg,10,balcao,2.553,4,39.7,,2,1.88997535
11,2026-05-04 10:34:06.236523,seg,10,balcao,0.184,5,76.22,,2,0.12761661666666665
55,2026-05-04 10:34:49.011220,seg,10,drive,1.735,2,26.07,,1,3.6348754666666663
32,2026-05-04 10:35:04.036174,seg,10,totem,2.706,2,24.52,jovem,4,2.770187233333333
33,2026-05-04 10:37:13.590042,seg,10,totem,4.305,2,21.84,jovem,4,2.1592311333333334
12,2026-05-04 10:39:44.042472,seg,10,balcao,1.34,1,16.95,,2,5.63009915
34,2026-05-04 10:40:12.666840,seg,10,totem,0.0,3,48.02,jovem,4,2.9846133
35,2026-05-04 10:41:06.156364,seg,10,totem,1.816,1,10.94,jovem,4,0.8914920666666667
36,2026-05-04 10:42:10.650673,seg,10,totem,3.873,1,17.11,idoso,4,1.07490515
56,2026-05-04 10:42:16.608388,seg,10,drive,5.161,5,75.9,,1,7.4599528
57,2026-05-04 10:42:30.209693,seg,10,drive,2.15,3,28.72,,1,0.22668841666666667
58,2026-05-04 10:47:52.231072,seg,10,drive,2.14,1,8.99,,1,5.367022983333333
13,2026-05-04 10:48:16.395499,seg,10,balcao,0.379,4,41.55,,2,8.539217116666666
14,2026-05-04 10:48:40.616108,seg,10,balcao,1.243,4,62.53,,2,0.40367681666666666
37,2026-05-04 10:49:04.445736,seg,10,totem,2.086,4,70.71,jovem,4,6.896584383333334
59,2026-05-04 10:49:47.656400,seg,10,drive,4.137,1,13.29,,1,1.9237554666666665
15,2026-05-04 10:51:29.832247,seg,10,balcao,1.417,3,53.81,,2,2.8202689833333334
38,2026-05-04 10:52:14.856423,seg,10,totem,2.546,3,33.36,jovem,4,3.17351145
16,2026-05-04 10:52:56.427271,seg,10,balcao,0.176,2,17.24,,2,1.4432504
60,2026-05-04 10:53:06.517190,seg,10,drive,3.079,4,62.41,,1,3.3143465
17,2026-05-04 10:53:06.804432,seg,10,balcao,0.418,1,15.4,,2,0.17295268333333333
39,2026-05-04 10:53:22.743050,seg,10,totem,0.839,2,32.02,jovem,4,1.1314437833333335
61,2026-05-04 10:53:39.159437,seg,10,drive,1.042,4,69.11,,1,0.5440374499999999
18,2026-05-04 10:54:28.295168,seg,10,balcao,0.439,1,15.28,,2,1.3581789333333334
62,2026-05-04 10:54:45.074865,seg,10,drive,3.784,3,47.9,,1,1.0985904666666668
63,2026-05-04 10:54:46.436781,seg,10,drive,7.534,4,37.4,,1,0.0226986
40,2026-05-04 10:54:51.535695,seg,10,totem,1.517,4,45.18,jovem,4,1.4798774166666666
19,2026-05-04 10:56:43.697352,seg,10,balcao,0.176,6,94.04,,2,2.2567030666666668
20,2026-05-04 10:58:39.123104,seg,10,balcao,0.099,1,14.53,,2,1.9237625333333335
211,2026-05-04 11:00:10.459063,seg,11,drive,1.645,2,32.45,,1,5.400371366666667
212,2026-05-04 11:00:21.459407,seg,11,drive,6.637,3,44.15,,1,0.18333906666666666
213,2026-05-04 11:00:23.035459,seg,11,drive,5.759,3,47.14,,1,0.026267533333333332
64,2026-05-04 11:00:31.707981,seg,11,balcao,0.874,2,28.59,,1,1.8764146166666669
214,2026-05-04 11:00:38.176388,seg,11,drive,2.835,3,28.88,,1,0.25234881666666664
65,2026-05-04 11:00:47.325827,seg,11,balcao,0.38,4,60.42,,1,0.26029743333333333
215,2026-05-04 11:01:09.271434,seg,11,drive,3.757,3,44.28,,1,0.5182507666666667
216,2026-05-04 11:01:27.270286,seg,11,drive,2.61,3,43.17,,1,0.2999808666666667
138,2026-05-04 11:01:53.577835,seg,11,totem,1.154,2,28.24,jovem,4,7.034035666666667
217,2026-05-04 11:02:11.752322,seg,11,drive,4.539,1,17.77,,1,0.7413672666666666
